_id,Up_System,predicted,manual,title,authors,book_format,cur_price,old_price,isbn13,publisher,publication_date,pages,product_dimensions
400,90A,0,,Upstairs at the White House: My Life with the First Ladies,J. B. West and Mary Lynn Kotz ,Paperback,$11.55,$17.99,9.78150403868e+12,Open Road Media; Reprint edition,06/21/16,398.0,5(w) x 7.8(h) x 0.8(d)
4515,90B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
3672,91A,0,,A Happier Hour,Rebecca Weller ,Paperback,$7.79,$15.99,9.7809946023e+12,Mod By Dom; 1 edition,08/02/16,208.0,5(w) x 8(h) x 0.5(d)
4515,91B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
2350,92A,0,,My Favorite Thing Is Monsters,Emil Ferris ,Paperback,$26.99,$39.99,9.78160699959e+12,Fantagraphics Books; 1 edition,02/28/17,416.0,8.1(w) x 10.5(h) x 1.3(d)
1440,92B,0,,,Oscar Wilde,Paperback,$5.99,$5.99,9780380012770,HarperCollins Publishers,01/01/1976,160.0,4.19(w) x 6.75(h) x 0.40(d)
4132,93A,0,,Things I Wish I Knew Before My Mom Died: Coping with Loss Every Day,Ty Alexander and Tia Williams ,Paperback,$13.18,$16.95,9.78163353388e+12,Mango,09/13/16,154.0,5(w) x 7.9(h) x 0.4(d)
4515,93B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
878,94A,0,,Gideon's Spies: The Secret History of the Mossad,Gordon Thomas ,Paperback,$13.72,$24.99,9.7812500564e+12,"St. Martin's Griffin; Seventh Edition, Revised edition",03/17/15,832.0,6.1(w) x 9.2(h) x 1.4(d)
1440,94B,0,,,Oscar Wilde,Paperback,$5.99,$5.99,9780380012770,HarperCollins Publishers,01/01/1976,160.0,4.19(w) x 6.75(h) x 0.40(d)
1794,95A,0,,Lilac Girls: A Novel,Martha Hall Kelly ,Paperback,$12.75,$17.00,9.78110188308e+12,Ballantine Books; Reprint edition,02/28/17,512.0,5.2(w) x 7.9(h) x 1(d)
4515,95B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
2453,96A,0,,Starship Troopers,Robert A. Heinlein ,Paperback,$8.99,$9.99,9.78044178359e+12,Ace,05/15/87,263.0,4.2(w) x 7.6(h) x 0.9(d)
1440,96B,0,,,Oscar Wilde,Paperback,$5.99,$5.99,9780380012770,HarperCollins Publishers,01/01/1976,160.0,4.19(w) x 6.75(h) x 0.40(d)
2330,97A,0,,Ethic 3,Ashley Antoinette ,Paperback,$15.00,$16.99,9.78172404315e+12,Independently published,11/26/18,262.0,5.5(w) x 8.5(h) x 0.7(d)
1440,97B,0,,,Oscar Wilde,Paperback,$5.99,$5.99,9780380012770,HarperCollins Publishers,01/01/1976,160.0,4.19(w) x 6.75(h) x 0.40(d)
3172,98A,0,,Moon Nashville (Travel Guide),Margaret Littman ,Paperback,$12.23,$17.99,9.7816404916e+12,Moon Travel; 3 edition,06/05/18,279.0,4.6(w) x 7.5(h) x 0.9(d)
1440,98B,0,,,Oscar Wilde,Paperback,$5.99,$5.99,9780380012770,HarperCollins Publishers,01/01/1976,160.0,4.19(w) x 6.75(h) x 0.40(d)
2138,99A,0,,Neverwhere: Author's Preferred Text,Neil Gaiman ,Paperback,$12.32,$16.99,9.78006245908e+12,William Morrow Paperbacks; Reprint edition,06/07/16,464.0,5.3(w) x 8(h) x 0.7(d)
4515,99B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
