A_id,B_id
4457,4515
3162,4515
2175,1379
4448,4515
429,4515
1618,4915
4536,4515
3405,4515
622,4515
529,4515
1593,1200
807,1614
1844,4515
556,4515
550,2375
1422,4515
4432,4515
3333,4515
1667,2386
3857,4953
711,4515
3633,4515
1346,4515
2275,4515
3305,4515
1516,1131
4592,4515
2171,4515
1673,4515
2952,4515
1287,4515
2251,4515
2711,4515
2534,4515
3577,4515
2565,4515
1433,3865
4644,4515
836,4515
2346,4515
935,4111
1593,72
1166,4515
3068,4515
3867,4515
729,3842
3948,4515
3551,4515
3300,4515
2369,4515
2040,4515
1968,5079
2845,4515
3648,4515
2890,4515
3960,2019
1532,4515
930,2711
2186,4515
2244,4515
1288,4515
2340,165
4436,4515
1892,2697
1481,3925
882,4515
789,4515
2936,4551
2447,4936
61,4515
19,4515
2127,4515
4345,4515
3074,5290
2205,4515
404,2264
3159,4515
3777,4515
2295,4515
172,2123
4239,4515
874,4515
3558,4515
1671,3573
1951,4515
3281,4515
4647,4515
100,1789
931,3530
3878,1010
4662,4515
2315,4515
239,4515
673,4515
2057,4515
1788,4515
252,4515
1915,4515
1170,2546
3518,760
3369,4515
1744,4515
2201,2298
505,4515
4629,4515
1812,703
730,4608
3779,4515
2738,4515
4053,5409
2197,1787
193,4515
2287,4515
3081,4515
619,4515
2199,4515
2093,794
1208,2770
3571,4882
3498,4515
3485,4515
999,4515
3411,4515
1095,4515
1409,4515
3715,3249
1423,4515
1792,5205
2884,4515
2630,722
1832,2474
1233,4515
3710,4515
1428,4515
2729,4515
3149,1159
1654,4515
4719,4515
2362,4515
79,4515
3528,4515
206,4515
4293,4515
516,4515
3816,4515
499,3510
627,4515
3667,5300
2408,4515
1080,4515
863,4515
1671,4515
1356,4515
2197,4515
3113,4515
1554,4515
1976,4515
1178,4515
2681,4515
896,4428
3892,4515
3982,4515
2131,2039
1433,4035
1009,4515
2978,4515
202,1232
518,4515
3779,4982
1632,4515
2212,786
3415,3818
833,4515
4390,4515
544,4515
2356,4515
2774,4515
237,4515
3379,4515
4148,4515
967,4515
2212,2466
120,4515
3415,4515
1725,4035
3206,4515
916,4515
816,4515
2271,4515
729,4515
2425,851
2341,4515
4327,4515
1971,355
2605,4515
2707,4515
167,4515
797,4515
248,143
1080,4774
4037,311
3456,4515
1082,4297
3992,4515
1832,2770
395,4515
674,4515
3585,4515
247,4515
123,299
3007,4515
1708,3883
756,2955
1447,4515
4576,4515
1321,4515
2594,4515
3277,4515
1974,4515
2998,133
73,2911
1617,868
2572,4515
3751,4515
4154,4255
647,4515
3851,4515
1570,4515
2158,4515
250,4515
340,4515
3420,4515
1493,4515
766,4515
1369,4515
3969,4515
1221,332
3997,4515
1468,3914
3575,4515
366,4515
4498,4515
1117,4515
2077,4515
4310,4515
1256,4515
1105,2508
1208,4515
2702,4515
2323,4474
