id,A_id,B_id
419,1080,3622
420,4012,4515
421,202,1232
422,3909,4515
424,1148,4406
425,1148,3541
426,1689,4344
427,1034,4903
428,31,858
429,3587,573
430,1170,2550
431,3908,4515
432,1929,860
433,1761,5287
434,2035,804
435,2391,4400
436,3771,2279
437,3276,4515
438,2521,4515
439,1434,1606
440,3259,1885
441,1354,4406
442,2324,3350
443,3149,4515
444,1708,3622
446,2373,1176
447,4026,137
448,1971,355
449,3759,4515
450,1082,3914
451,2724,4515
452,1082,3597
453,201,4515
455,2323,4796
456,332,4515
457,503,4515
458,3700,4515
459,2932,3003
460,2212,786
461,4148,557
462,1519,4600
463,3873,3163
464,1421,3541
465,1109,3803
466,926,4965
467,1709,4801
468,1872,2809
469,3573,455
470,2042,2804
471,406,4607
472,1345,3587
473,1433,4712
474,2051,4092
475,3544,3902
476,4321,4515
477,1774,719
478,2190,4092
479,2304,3444
480,3842,2374
481,1917,167
482,1434,1359
483,2212,1326
484,3859,887
485,2075,1182
486,1277,4111
487,1522,4132
488,3967,4515
489,1221,332
490,2286,4515
491,1650,3914
492,1892,2697
493,2611,4515
494,2038,4515
495,674,4520
496,2919,5412
497,1348,4515
498,729,3842
499,3825,3508
500,2876,714
501,2093,794
502,824,4515
503,1529,4035
504,3348,3659
505,2118,4515
506,1394,130
507,2171,4515
508,1014,1805
509,2286,4667
510,1394,2012
511,2774,2904
512,170,4523
513,448,2416
514,2756,3847
515,425,4791
516,1519,3557
517,2782,4515
518,2304,502
520,1835,4515
521,2119,55
522,1245,3771
523,2307,262
524,3395,3208
525,2000,870
526,1476,3557
527,1389,4712
528,1671,3573
529,1496,4669
530,3780,2336
531,2537,3536
532,3624,4515
533,2288,5247
534,1689,3815
535,1252,4157
536,601,4515
537,3682,2638
538,1529,4362
539,546,4515
540,2939,2662
541,899,4515
543,3853,2671
544,3041,4515
545,2500,2013
546,1429,2788
547,3923,4627
548,152,198
550,2290,445
551,2585,2351
552,23,1357
553,2118,3499
554,1250,4903
555,691,4515
556,1354,3516
557,2309,2713
558,1034,4669
559,2328,3228
560,935,4035
561,376,5114
562,2369,4515
563,3134,4515
564,1689,4077
565,1034,3884
566,662,4515
568,1609,130
569,1977,3237
570,2285,172
571,1736,328
572,822,4515
573,3728,4515
574,441,4515
576,1609,1870
577,935,4646
578,1947,1878
579,2627,4515
580,3721,4515
581,602,4515
582,1912,4867
583,1082,4954
584,594,2912
585,514,4515
586,1214,4850
587,344,4515
588,30,3704
589,2337,1015
590,3346,4515
591,2391,4782
592,1400,3656
593,1082,3923
594,1790,4521
595,3641,5092
596,196,4515
597,1748,3327
598,1899,3559
599,391,4515
600,736,1020
601,2197,1787
602,1832,1359
603,771,4515
604,1233,4211
605,1154,1004
606,2294,874
607,3240,4515
608,4045,4515
609,2546,4600
610,1226,4031
611,277,4515
612,1114,2721
614,1476,4383
615,3992,4515
616,87,1311
617,4046,3065
618,931,4850
619,3674,4515
620,2181,4515
621,1434,2013
622,382,3840
623,2323,4297
624,461,4343
625,41,4515
626,3699,4515
627,743,3297
628,1605,2094
629,2023,3612
630,2304,4116
631,1433,4362
632,1038,3183
633,4154,4255
634,1888,490
635,1374,4077
636,352,598
637,2008,4515
638,2471,4724
639,1900,5268
640,592,4101
641,1692,4850
642,1148,3557
643,1433,4646
644,894,2667
645,1214,4362
646,448,2418
647,1994,4410
648,1082,4714
649,1398,4515
650,653,4515
651,648,4515
652,1672,4112
653,100,1789
654,976,4515
655,1725,4646
656,993,3352
657,2726,4515
658,2046,4912
659,1301,2462
660,2145,3057
661,2142,4515
662,4647,2971
663,1148,4031
664,399,4515
665,4076,4515
666,2789,683
667,2365,4850
668,1832,2770
669,1012,4446
670,1952,4790
671,1170,2545
672,1837,4383
673,910,2157
674,2161,1379
675,710,4515
676,1942,4515
