A_id,B_id
3673,4515
1015,4515
2632,4658
100,2727
196,4515
3288,4515
4617,4515
3203,4515
1814,4438
1688,4515
2604,4515
662,4515
1433,3845
1219,4515
3384,4515
4028,269
1075,4515
1650,4515
1618,4122
3727,4515
4625,4515
1470,4515
722,4515
4331,4515
1793,4166
1766,5007
4660,4515
1664,4515
2546,3761
2507,4184
262,4515
1593,1200
1055,4515
1084,4850
1589,4515
696,4515
1059,4515
1846,4515
1938,1157
2857,4515
3551,4515
1226,4711
2042,2804
3617,5417
772,4515
274,4515
1651,4386
1313,5360
2890,4515
1148,4515
1265,4515
359,5087
1701,5344
2963,4515
3293,4515
1929,4515
1835,3959
3859,887
536,4515
4300,4515
1952,4790
2556,4515
1328,4394
2494,2321
3759,4515
2031,4515
3348,3659
1220,4266
791,1850
3941,4313
3751,4515
3305,4515
732,4515
2994,4515
961,4515
1668,4798
1466,969
3257,4515
4188,4515
111,4515
2204,4515
1529,4515
1429,2788
2212,2466
3856,4515
242,4515
3273,4515
3136,4515
1233,4163
1535,4515
3428,4515
1354,4031
3345,5189
349,4515
971,4515
1612,4515
1729,4127
1139,4675
2711,4515
1659,4515
3881,4832
1394,2012
4278,4515
88,4515
744,4515
3216,4515
2167,4515
2441,4515
1614,1059
1831,3081
2630,722
2199,4515
1937,3732
1354,3656
3566,4515
2265,4515
973,4515
1679,4515
2020,5038
2919,5412
1088,4515
1301,2462
2141,4515
4605,2190
1350,4515
1761,5287
3954,4515
3728,4515
1539,4515
204,4515
2827,4515
1699,4515
404,2264
3171,4515
108,4515
1595,4515
3530,4515
4078,2186
1117,4515
3348,4515
852,4515
3945,4515
2749,4515
100,1660
4037,311
3712,4515
1600,3622
395,4515
1542,4515
2914,4515
2278,4515
3451,4515
3365,4515
1245,3771
1292,4515
1580,4515
2316,4515
1893,4515
3641,5092
1664,3191
2757,4515
1910,4515
3771,4515
2290,445
2500,1962
2629,4515
2248,4515
487,4515
3495,4515
44,4515
3206,4515
384,4057
460,4515
1129,4515
762,4515
2232,4776
1170,2553
1655,4515
793,4515
2192,4515
294,4515
2497,4515
4153,4515
1671,3573
1613,4515
1547,4515
2255,4515
1250,4903
3415,4515
3063,4515
987,4515
1593,1870
205,3371
100,1879
2728,4515
3479,3032
1467,3084
3756,4515
2015,2621
354,4515
2975,4515
372,4794
1777,4515
2774,4515
2715,4515
2140,4480
1585,4515
3755,4515
2012,4515
4109,4515
116,4515
2463,1909
3771,2279
3780,2336
975,4515
68,2416
4454,4515
1600,3982
2851,4515
2373,1176
1006,2837
3869,4515
1832,1606
984,4515
1977,3237
3398,4515
2882,4515
1183,4515
4647,2971
3438,4515
1345,4515
1917,167
416,4515
3094,4515
1419,4515
3139,4515
441,3650
2362,4515
1761,4515
381,4515
2713,4515
94,2772
1488,4515
1994,4515
497,4515
3389,4515
1822,4515
1840,4515
2264,4881
4493,4515
2453,4515
2044,4515
2297,4515
1245,3803
2465,4515
2859,4515
1226,4031
527,4515
1540,4515
603,4515
4346,4515
2973,4515
2323,4515
4349,4515
3239,4515
4483,4515
1150,4515
101,4515
2777,4515
3142,4515
2057,605
2269,5403
4531,4515
318,4515
2173,4262
3493,4515
52,4515
2123,483
3545,4515
1357,4515
4647,4515
1233,4211
397,4515
1468,4515
3038,4515
2173,4515
4021,4515
1558,4515
2138,4515
3381,4515
773,4515
3906,4515
3533,4515
3184,1160
1342,4515
2592,4647
1824,4515
1427,5237
1837,4031
1434,2770
2016,4515
4031,4515
1844,4515
2365,4646
910,5425
4442,4515
1366,4515
2295,4515
140,4515
307,4515
4647,2019
894,2667
4110,4515
2505,4515
468,4515
1170,2543
1605,2094
4521,4515
504,4515
3278,4515
873,4245
4136,3130
2067,4515
3852,4515
3363,4515
1650,4183
1965,4515
278,4515
4402,4515
1910,5253
1609,2012
3117,5302
1878,4515
3260,5098
1474,1567
330,5338
1294,4515
3231,4515
1561,1644
935,4092
878,4515
3222,4515
100,1459
1412,4515
2463,4077
975,4888
907,4515
3605,1700
743,4515
1926,2643
1971,355
979,1201
3509,4515
896,4515
369,4515
3993,4515
2905,4515
3556,3353
2304,3444
1832,726
2474,4515
1348,4515
1272,4515
4223,4515
1136,5023
3577,4515
2031,1366
1638,4917
1095,4515
4112,4515
2253,4376
2107,711
2145,820
1672,4112
2196,4515
3773,4515
425,4515
2125,1841
4659,4515
4071,4515
1341,4515
3072,4515
1897,4515
3880,1327
3643,4515
2611,4515
2999,4515
594,2912
2581,4515
768,3851
1899,3559
2194,3988
1547,2943
4277,4515
569,4515
1214,4035
1529,4862
2282,4515
749,4515
2359,4515
1375,4047
627,4515
3066,4515
1809,4515
2247,4515
1258,4515
1917,4515
964,4515
582,433
2662,4515
1318,4515
1082,3914
1653,1870
40,4515
2715,2951
2691,4515
3079,1531
2507,4515
418,4515
1692,4515
866,4515
1621,3541
3368,4515
4629,4515
3130,4515
3914,4515
968,4515
134,4515
1433,4712
4249,4174
2237,232
3380,4515
352,598
4633,4515
1725,4850
226,3903
2324,3350
2784,4515
1177,5123
4203,4515
1708,3622
4506,4515
4131,1080
268,4515
1945,4515
1604,4515
1038,4515
4247,4515
4490,2908
1775,4515
2062,4515
1690,4132
