,authors,book_format,cur_price,isbn13,old_price,pages,product_dimensions,publication_date,publisher,title
3863,Peter Schweizer ,Paperback,$12.18,9780062569370,$17.99,352.0,5.3 x 0.8 x 8 inches,03/26/19,Harper Paperbacks; Reprint edition,Secret Empires: How the American Political Class Hides Corruption and Enriches Family and Friends
3864,Iris Apfel ,Hardcover,$23.79,9780062405081,$35.00,176.0,6.7 x 0.9 x 9.4 inches,03/06/18,Harper Design,Iris Apfel: Accidental Icon
3865,Sallie Tisdale ,Hardcover,$17.67,9781501182174,$25.99,256.0,5.5 x 0.8 x 8.4 inches,06/12/18,"Gallery Books; First Edition, First Printing edition",Advice for Future Corpses (and Those Who Love Them): A Practical Perspective on Death and Dying
3866,Lew Jennings ,Paperback,$18.95,9781548484538,$19.95,376.0,5.5 x 0.8 x 8.5 inches,07/13/17,CreateSpace Independent Publishing Platform; 1 edition,19 Minutes to Live - Helicopter Combat in Vietnam: A Memoir by Lew Jennings
3867,Randy Travis and Ken Abraham ,Hardcover,$17.70,9781400207985,$26.99,304.0,6.5 x 1.5 x 9.5 inches,05/14/19,Thomas Nelson,"Forever and Ever, Amen: A Memoir of Music, Faith, and Braving the Storms of Life"
3868,Samantha Irby ,Paperback,$10.84,9781101912195,$15.95,288.0,5.2 x 0.8 x 8 inches,05/30/17,Vintage,We Are Never Meeting in Real Life.: Essays
3869,Steven Rinella ,Paperback,$15.77,9780385529822,$18.00,256.0,5.2 x 0.6 x 8 inches,09/10/13,Spiegel & Grau; Reprint edition,Meat Eater: Adventures from the Life of an American Hunter
3870,Beth Comstock and Tahl Raz ,Hardcover,$14.27,9780451498298,$30.00,416.0,6.4 x 1.4 x 9.4 inches,09/18/18,Currency,"Imagine It Forward: Courage, Creativity, and the Power of Change"
3871,Bea Johnson ,Paperback,$12.29,9781451697681,$17.00,304.0,7.4 x 0.5 x 9.1 inches,04/09/13,Scribner; 45550th edition,Zero Waste Home: The Ultimate Guide to Simplifying Your Life by Reducing Your Waste
3872,Damon West ,Hardcover,$17.10,9781642931020,$26.00,352.0,5.5 x 1.1 x 8.2 inches,03/19/19,Post Hill Press,The Change Agent: How a Former College QB Sentenced to Life in Prison Transformed His World
3873,Jane Sherron de Hart ,Hardcover,$14.80,9781400040483,$35.00,752.0,6.7 x 1.7 x 9.6 inches,10/16/18,Knopf,Ruth Bader Ginsburg: A Life
3874,Lawrence Anthony and Graham Spence ,Paperback,$17.09,9781250007810,$18.99,384.0,5.7 x 1 x 8.2 inches,05/22/12,St. Martin's Griffin; Reprint edition,The Elephant Whisperer: My Life with the Herd in the African Wild
3875,Andrea Wulf ,Paperback,$12.76,9780345806291,$17.95,576.0,5.2 x 1.1 x 8 inches,10/04/16,Vintage; Reprint edition,The Invention of Nature: Alexander von Humboldt's New World
3876,Matt Haig ,Paperback,$7.20,9780143128724,$16.00,272.0,5 x 0.7 x 7 inches,02/23/16,Penguin Books,Reasons to Stay Alive
3877,Justin Timberlake ,Hardcover,$28.00,9780062448309,$40.00,288.0,8.5 x 0.8 x 10.5 inches,10/30/18,Harper Design,Hindsight: & All the Things I Can't See in Front of Me
3878,Erica Stone ,Paperback,$13.77,,$14.95,,,01/01/1979,,GRAY: A Story of Loss
3879,Megan Hess ,Hardcover,$16.96,9781743790663,$24.99,208.0,6 x 0.8 x 8.8 inches,10/13/15,Hardie Grant,Coco Chanel: The Illustrated World of a Fashion Icon
3880,Shannon Watts ,Hardcover,$17.10,9780062892560,$25.99,304.0,5.5 x 1 x 8.2 inches,05/28/19,HarperOne,Fight Like a Mother: How a Grassroots Movement Took on the Gun Lobby and Why Women Will Change the World
3881,Flint Taylor ,Hardcover,$17.69,9781608468959,$27.00,556.0,6.5 x 1.5 x 9.2 inches,03/19/19,Haymarket Books,The Torture Machine: Racism and Police Violence in Chicago
3882,Ken Langone ,Hardcover,$19.04,9780735216242,$28.00,304.0,6.2 x 1 x 9.3 inches,05/15/18,Portfolio,I Love Capitalism!: An American Story
3883,Peter Pauper Press ,Hardcover,$9.42,9781441322319,$14.99,192.0,7.5 x 0.8 x 9 inches,11/01/16,Peter Pauper Press; Gjr edition,"The Book of Me, 2nd Edition (Autobiographical Journal)"
3884,DK and Ross King ,Hardcover,$22.53,9781465463289,$40.00,360.0,10.2 x 1.2 x 12.1 inches,09/05/17,DK,Artists: Their Lives and Works
3885,Bronnie Ware ,Paperback,$7.78,9781401940652,$15.99,256.0,5.4 x 0.6 x 8.4 inches,03/20/12,Hay House Inc.; Reprint edition,The Top Five Regrets of the Dying: A Life Transformed by the Dearly Departing
3886,Elaine Lowry Brye and Nan Gatewood Satter ,Paperback,$12.18,9781610396370,$16.99,272.0,6 x 1 x 9.2 inches,04/05/16,PublicAffairs; Reprint edition,"Be Safe, Love Mom: A Military Mom's Stories of Courage, Comfort, and Surviving Life on the Home Front"
3887,Caroline Fraser ,Paperback,$12.09,9781250182487,$22.00,656.0,5.4 x 1.3 x 8.3 inches,08/07/18,Picador; Reprint edition,Prairie Fires: The American Dreams of Laura Ingalls Wilder
3888,Katie Davis Majors and Beth Clark ,Paperback,$11.68,9781451612097,$15.99,304.0,5.5 x 0.8 x 8.4 inches,09/04/12,Howard Books; Reprint edition,Kisses from Katie: A Story of Relentless Love and Redemption
3889,Roz Chast ,Paperback,$7.89,9781632861016,$19.00,228.0,7.6 x 0.6 x 9.3 inches,09/13/16,Bloomsbury USA; Reprint edition,Can't We Talk about Something More Pleasant?: A Memoir
