,authors,book_format,cur_price,isbn13,old_price,pages,product_dimensions,publication_date,publisher,title
0,Ben Shapiro,Hardcover,$16.79,9780062857903,$27.99,288.0,6 x 1 x 9 inches,03/19/19,Broadside Books,The Right Side of History: How Reason and Moral Purpose Made the West Great
1,Victor Davis Hanson,Hardcover,$17.99,9781541673540,$30.00,400.0,6.6 x 1.6 x 9.7 inches,03/05/19,Basic Books,The Case for Trump
2,Pete Buttigieg,Hardcover,$16.77,9781631494369,$27.95,352.0,6.4 x 1.3 x 9.6 inches,02/12/19,Liveright; 1 edition,Shortest Way Home: One Mayor's Challenge and a Model for America's Future
3,Jocko Willink and Leif Babin,Hardcover,$14.95,9781250183866,$27.99,384.0,5.5 x 1.2 x 8.2 inches,11/21/17,St. Martin's Press; 1 edition,Extreme Ownership: How U.S. Navy SEALs Lead and Win (New Edition)
4,Yuval Noah Harari,Paperback,$14.76,9780062316110,$22.99,464.0,6 x 1.1 x 9 inches,05/15/18,Harper Perennial; Reprint edition,Sapiens: A Brief History of Humankind
5,Patrick Radden Keefe,Hardcover,$18.59,9780385521314,$28.95,464.0,6.5 x 1.4 x 9.4 inches,02/26/19,Doubleday; First Edition edition,Say Nothing: A True Story of Murder and Memory in Northern Ireland
6,Susan Page,Hardcover,$19.50,9781538713648,$32.50,432.0,6.4 x 1.5 x 9.2 inches,04/02/19,Twelve,The Matriarch: Barbara Bush and the Making of an American Dynasty
7,Bob Klapisch and Paul Solotaroff,Hardcover,$16.80,9781328589354,$28.00,256.0,9 x 6 x 9 inches,03/26/19,Houghton Mifflin Harcourt,Inside the Empire: The True Power Behind the New York Yankees
8,Ramin Setoodeh,Hardcover,$17.39,9781250112095,$28.99,336.0,6.4 x 1.3 x 9.6 inches,04/02/19,Thomas Dunne Books,"Ladies Who Punch: The Explosive Inside Story of ""The View"""
9,Andrew G. McCabe,Hardcover,$14.75,9781250207579,$29.99,288.0,6.6 x 1.1 x 9.4 inches,02/19/19,St. Martin's Press; 2nd edition,The Threat: How the FBI Protects America in the Age of Terror and Trump
10,David Horowitz,Hardcover,$16.19,9781630061142,$26.99,224.0,6.5 x 0.8 x 9.5 inches,03/05/19,Humanix Books,DARK AGENDA: The War to Destroy Christian America
11,Viktor E. Frankl and William J. Winslade,Paperback,$6.59,9780807014295,$10.99,184.0,4.2 x 0.5 x 6.7 inches,06/01/06,Beacon Press; 1 edition,Man's Search for Meaning
12,The Princeton Review ,Paperback,$17.20,9781524758172,$25.99,560.0,8.4 x 1.3 x 10.8 inches,08/07/18,Princeton Review; Premium edition,"Cracking the AP World History Exam 2019, Premium Edition: 5 Practice Tests + Complete Content Review (College Test Preparation)"
13,David McCullough ,Hardcover,$19.49,9781501168680,$30.00,352.0,9.2 x 6.2 x 9.2 inches,05/07/19,Simon & Schuster,The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West
14,Neil deGrasse Tyson ,Hardcover,$13.26,9780393609394,$18.95,224.0,7.3 x 4.8 x 0.9 inches,05/02/17,W. W. Norton & Company; 1 edition,Astrophysics for People in a Hurry
15,Susan Orlean ,Hardcover,$19.60,9781476740188,$28.00,336.0,6.2 x 1.1 x 9.2 inches,10/16/18,Simon & Schuster; First Edition edition,The Library Book
16,J. D. Vance ,Paperback,$13.49,9780062300553,$16.99,288.0,5.3 x 0.7 x 8 inches,05/01/18,Harper Paperbacks; Reprint edition,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis
17,Yuval Noah Harari ,Hardcover,$16.69,9780525512172,$28.00,400.0,6.4 x 1.2 x 9.5 inches,09/04/18,Spiegel & Grau; 1st Edition edition,21 Lessons for the 21st Century
18,David Grann ,Paperback,$12.71,9780307742483,$16.95,400.0,5.2 x 0.8 x 8 inches,04/03/18,Vintage; Reprint edition,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI
19,Emily Nagoski Ph.D. ,Paperback,$11.55,9781476762098,$17.99,416.0,6 x 1.1 x 9 inches,03/03/15,Simon & Schuster; 1 edition,Come as You Are: The Surprising New Science that Will Transform Your Sex Life
20,Suzanne Humphries MD and Roman Bystrianyk ,Paperback,$22.80,9781480216891,$24.00,504.0,6 x 1.2 x 9 inches,07/27/13,CreateSpace Independent Publishing Platform; 6/27/13 edition,"Dissolving Illusions: Disease, Vaccines, and The Forgotten History"
21,Barry Strauss ,Hardcover,$16.80,9781451668834,$28.00,432.0,6 x 1.3 x 9 inches,03/05/19,Simon & Schuster,Ten Caesars: Roman Emperors from Augustus to Constantine
22,Steven Strogatz ,Hardcover,$18.30,9781328879981,$28.00,384.0,9 x 6 x 9 inches,04/02/19,Houghton Mifflin Harcourt,Infinite Powers: How Calculus Reveals the Secrets of the Universe
23,Clint Hill and Lisa McCubbin ,Paperback,$16.20,9781476794143,$18.00,464.0,6 x 1.1 x 9 inches,05/02/17,Gallery Books; Reprint edition,"Five Presidents: My Extraordinary Journey with Eisenhower, Kennedy, Johnson, Nixon, and Ford"
24,William J. Burns ,Hardcover,$20.69,9780525508861,$32.00,512.0,6.4 x 1.5 x 9.6 inches,03/12/19,Random House,The Back Channel: A Memoir of American Diplomacy and the Case for Its Renewal
25,Daniel Immerwahr ,Hardcover,$19.49,9780374172145,$30.00,528.0,6.4 x 1.7 x 9.4 inches,02/19/19,"Farrar, Straus and Giroux; First Edition edition",How to Hide an Empire: A History of the Greater United States
26,Tom Wright and Bradley Hope ,Hardcover,$18.30,9780316436502,$28.00,400.0,6.4 x 1.6 x 9.3 inches,09/18/18,Hachette Books,"Billion Dollar Whale: The Man Who Fooled Wall Street, Hollywood, and the World"
27,Doris Kearns Goodwin ,Hardcover,$17.95,9781476795928,$30.00,496.0,6.1 x 1.3 x 9.2 inches,09/18/18,Simon & Schuster; First Edition/First Printing edition,Leadership: In Turbulent Times
28,Phil Robertson ,Hardcover,$12.77,9781400210046,$24.99,224.0,6.2 x 0.8 x 9.3 inches,02/05/19,Thomas Nelson,The Theft of America’s Soul: Blowing the Lid Off the Lies That Are Destroying Our Country
29,The Washington Post ,Paperback,$10.50,9781982129736,$15.00,720.0,6 x 9 inches,04/30/19,Scribner,The Mueller Report
30,Joan Biskupic ,Hardcover,$20.69,9780465093274,$32.00,432.0,6.4 x 1.5 x 9.6 inches,03/26/19,Basic Books,The Chief: The Life and Turbulent Times of Chief Justice John Roberts
31,Andrew Roberts ,Hardcover,$25.47,9781101980996,$40.00,1152.0,6.4 x 2.2 x 9.6 inches,11/06/18,Viking,Churchill: Walking with Destiny
32,Bill Browder ,Paperback,$10.91,9781476755748,$17.00,416.0,5.5 x 1 x 8.4 inches,10/20/15,Simon & Schuster; Reprint edition,"Red Notice: A True Story of High Finance, Murder, and One Man's Fight for Justice"
33,Matti Friedman ,Hardcover,$17.67,9781616207229,$26.95,272.0,5.8 x 1.1 x 8.3 inches,03/05/19,Algonquin Books,Spies of No Country: Secret Lives at the Birth of Israel
34,Sidney Powell ,Paperback,$13.36,9781732767607,$19.95,464.0,6 x 1.2 x 8.9 inches,10/23/18,"Sidney Powell; Second Edition,New edition edition",Licensed to Lie
35,Erik Larson ,Paperback,$11.06,9780375725609,$16.95,447.0,5.2 x 0.9 x 8 inches,02/10/04,Vintage,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America"
36,Howard Zinn ,Paperback,$13.59,9780062397348,$19.99,784.0,5.3 x 1.2 x 8 inches,11/17/15,Harper Perennial Modern Classics; Reissue edition,A People's History of the United States
37,Bill O'Reilly and Martin Dugard ,Hardcover,$15.00,9781250165541,$30.00,320.0,6.5 x 1.1 x 9.6 inches,10/09/18,Henry Holt and Co.; First Edition edition,Killing the SS: The Hunt for the Worst War Criminals in History (Bill O'Reilly's Killing Series)
38,Jill Lepore ,Hardcover,$21.23,9780393635249,$39.95,960.0,6.5 x 1.9 x 9.6 inches,09/18/18,W. W. Norton & Company; 1 edition,These Truths: A History of the United States
39,Sebastian Junger ,Hardcover,$13.38,9781455566389,$22.00,192.0,5.2 x 0.8 x 7.8 inches,05/24/16,Twelve; 1 edition,Tribe: On Homecoming and Belonging
40,The Princeton Review ,Paperback,$17.67,9780525567509,$25.99,512.0,8.4 x 1.2 x 10.8 inches,08/07/18,Princeton Review; Premium edition,"Cracking the AP European History Exam 2019, Premium Edition: 5 Practice Tests + Complete Content Review (College Test Preparation)"
41,Rebecca Skloot ,Paperback,$9.59,,$16.00,381.0,5.2 x 1.1 x 7.9 inches,03/08/11,Broadway Books,The Immortal Life of Henrietta Lacks
42,David Limbaugh ,Paperback,$15.29,9781621574118,$16.99,406.0,6 x 1.2 x 9 inches,10/19/15,Regnery Publishing,Jesus on Trial: A Lawyer Affirms the Truth of the Gospel
43,Truman Capote ,Paperback,$12.30,9780679745587,$16.00,343.0,5.2 x 0.8 x 8 inches,02/01/94,Vintage,In Cold Blood
44,Yuval Noah Harari ,Paperback,$14.50,9780062464347,$22.99,464.0,6 x 1.1 x 9 inches,09/04/18,Harper Perennial; Reprint edition,Homo Deus: A Brief History of Tomorrow
45,Cara Robertson ,Hardcover,$18.30,9781501168376,$28.00,400.0,6 x 1.1 x 9 inches,03/12/19,Simon & Schuster; First Edition edition,The Trial of Lizzie Borden
46,James Donovan ,Hardcover,$19.49,9780316341783,$30.00,464.0,6.4 x 1.6 x 9.5 inches,03/12/19,"Little, Brown and Company; First Edition/First Printing edition",Shoot for the Moon: The Space Race and the Extraordinary Voyage of Apollo 11
47,Brad Meltzer and Josh Mensch ,Hardcover,$20.04,9781250130334,$29.99,432.0,6.4 x 1.4 x 9.6 inches,01/08/19,Flatiron Books; Reprint edition,The First Conspiracy: The Secret Plot to Kill George Washington
48,Alex Kotlowitz ,Hardcover,$16.21,9780385538800,$27.95,304.0,6.6 x 1.1 x 9.6 inches,03/05/19,Nan A. Talese,An American Summer: Love and Death in Chicago
49,Maria Popova ,Hardcover,$19.49,9781524748135,$30.00,592.0,6.5 x 1.5 x 9.6 inches,02/05/19,Pantheon,Figuring
50,Adam Higginbotham ,Hardcover,$17.97,9781501134616,$29.95,560.0,6 x 1.8 x 9 inches,02/12/19,Simon & Schuster,Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster
51,Jon Krakauer ,Paperback,$9.95,9780385486804,$15.00,240.0,5.2 x 0.5 x 7.9 inches,02/01/97,Anchor Books; 1 edition,Into the Wild
52,Richard Rothstein ,Paperback,$12.20,9781631494536,$17.95,368.0,5.5 x 1 x 8.2 inches,05/01/18,Liveright; 1 edition,The Color of Law: A Forgotten History of How Our Government Segregated America
53,Gregg Jarrett ,Hardcover,$15.92,9788925598352,$28.99,352.0,6 x 1.1 x 9 inches,07/24/18,Broadside Books; 1st Edition edition,The Russia Hoax: The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump
54,Daniel James Brown ,Paperback,$12.93,9780316497039,$17.00,404.0,5.5 x 0.9 x 8.4 inches,01/012014,Penguin Books,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
55,Dan Pedersen ,Hardcover,$12.09,9780316416269,$28.00,320.0,6.4 x 1.2 x 9.3 inches,03/05/19,Hachette Books,Topgun: An American Story
56,Eugene V. Resnick M.A. ,Paperback,$16.31,9781438011080,$23.99,576.0,8.4 x 1.1 x 10.9 inches,08/01/18,Barrons Educational Series; Fourth edition,Barron's AP United States History with Online Tests
57,Frederic Martel and Shaun Whiteside ,Hardcover,$18.00,9781472966148,$30.00,576.0,6.4 x 1.7 x 9.6 inches,02/21/19,Bloomsbury Continuum,"In the Closet of the Vatican: Power, Homosexuality, Hypocrisy"
58,Stephen Hawking ,Hardcover,$16.21,9781984819192,$25.00,256.0,5.7 x 0.9 x 8.2 inches,10/16/18,Bantam,Brief Answers to the Big Questions
59,Carrie Gibson ,Hardcover,$19.49,9780802127020,$30.00,576.0,6.5 x 1.8 x 9.5 inches,02/05/19,Atlantic Monthly Press,El Norte: The Epic and Forgotten Story of Hispanic North America
60,Sheryl Sandberg ,Hardcover,$14.47,9780385349949,$24.95,240.0,5.9 x 1 x 9.5 inches,03/12/13,Knopf; 1 edition,"Lean In: Women, Work, and the Will to Lead"
61,John McCannon ,Paperback,$16.31,9781438011097,$23.99,512.0,8.4 x 0.9 x 10.9 inches,08/01/18,Barrons Educational Series; Eighth edition,Barron's AP World History with Online Tests
62,Michael Lewis ,Hardcover,$11.21,9781324002642,$26.95,256.0,6.5 x 0.9 x 9.6 inches,10/02/18,W. W. Norton & Company; 1 edition,The Fifth Risk
63,"Workman Publishing , Ximena Vengoechea, et al. ",Paperback,$10.66,9780761160946,$14.95,528.0,6 x 1 x 8 inches,08/09/16,Workman Publishing Company; Study Guide edition,Everything You Need to Ace World History in One Big Fat Notebook: The Complete Middle School Study Guide (Big Fat Notebooks)
64,David W. Blight ,Hardcover,$20.87,9781416590316,$37.50,912.0,6.2 x 1.8 x 9.2 inches,10/16/18,Simon & Schuster; 1st Edition edition,Frederick Douglass: Prophet of Freedom
65,The Princeton Review ,Paperback,$13.59,9781524758165,$19.99,464.0,8.4 x 1.1 x 10.8 inches,08/07/18,Princeton Review; 2019 Edition edition,"Cracking the AP U.S. History Exam, 2019 Edition: Practice Tests + Proven Techniques to Help You Score a 5 (College Test Preparation)"
66,Jonathan Haidt ,Paperback,$12.50,9780307455772,$17.00,528.0,5.2 x 1 x 7.9 inches,02/12/13,Vintage; Reprint edition,The Righteous Mind: Why Good People Are Divided by Politics and Religion
67,Lindsey Fitzharris ,Paperback,$9.89,9780374537968,$16.00,304.0,5.5 x 0.8 x 8.3 inches,10/02/18,"Scientific American / Farrar, Straus and Giroux; Reprint edition",The Butchering Art: Joseph Lister's Quest to Transform the Grisly World of Victorian Medicine
68,Art Spiegelman ,Paperback,$22.61,9780679748403,$31.90,300.0,6.7 x 1 x 9.4 inches,10/19/93,Pantheon; Later Printing edition,Maus : A Survivor's Tale. I. My Father Bleeds History. II. And Here My Troubles Began
69,Peter Schweizer ,Hardcover,$14.50,9780062569363,$28.99,336.0,6.3 x 1.3 x 9 inches,03/20/18,Harper,Secret Empires: How the American Political Class Hides Corruption and Enriches Family and Friends
70,Jon Meacham ,Hardcover,$15.72,9780399589812,$30.00,416.0,6.4 x 1.4 x 9.6 inches,05/08/18,Random House; First Edition edition,The Soul of America: The Battle for Our Better Angels
71,Christina Thompson ,Hardcover,$25.99,9780062060877,$29.99,384.0,6 x 1.2 x 9 inches,03/12/19,Harper,Sea People: The Puzzle of Polynesia
72,Graham Hancock ,Hardcover,$26.99,9781250153739,$29.99,608.0,6.1 x 9.2 inches,04/23/19,St. Martin's Press,America Before: The Key to Earth's Lost Civilization
73,Marjane Satrapi ,Paperback,$8.88,9780375714573,$14.95,160.0,6 x 0.5 x 8.9 inches,06/01/04,Pantheon; 1st Edition edition,Persepolis: The Story of a Childhood (Pantheon Graphic Library)
74,D. Michael Abrashoff ,Hardcover,$11.85,9781455523023,$28.00,240.0,6.5 x 1 x 9.5 inches,10/09/12,Grand Central Publishing; 10th Anniversary Revised & Updated edition,"It's Your Ship: Management Techniques from the Best Damn Ship in the Navy, 10th Anniversary Edition"
75,Gregory Boyle ,Paperback,$13.24,9781439153154,$16.00,240.0,5.5 x 1 x 8.4 inches,02/22/11,Free Press; 60840th edition,Tattoos on the Heart: The Power of Boundless Compassion
76,Clint Emerson ,Paperback,$11.09,9781476796055,$19.99,272.0,5.5 x 0.7 x 8.2 inches,10/13/15,Atria Books,"100 Deadly Skills: The SEAL Operative's Guide to Eluding Pursuers, Evading Capture, and Surviving Any Dangerous Situation"
77,Rick Atkinson ,Hardcover,$25.47,9781627790437,$40.00,800.0,6.1 x 9.2 inches,05/14/19,Henry Holt and Co.,"The British Are Coming: The War for America, Lexington to Princeton, 1775-1777 (The Revolution Trilogy)"
78,Philipp Blom ,Hardcover,$16.24,9781631494048,$27.95,352.0,6.4 x 1.2 x 9.6 inches,02/19/19,Liveright; 1 edition,Nature's Mutiny: How the Little Ice Age of the Long Seventeenth Century Transformed the West and Shaped the Present
79,Laura Hillenbrand ,Paperback,$9.49,9780812974492,$16.00,528.0,5.5 x 1.1 x 8.2 inches,07/29/14,Random House Trade Paperbacks; Reprint edition,"Unbroken: A World War II Story of Survival, Resilience, and Redemption"
80,Charles Krauthammer and Daniel Krauthammer ,Hardcover,$18.55,9781984825483,$28.00,400.0,6.4 x 1.3 x 9.5 inches,12/04/18,Crown Forum,The Point of It All: A Lifetime of Great Loves and Endeavors
81,L. David Marquet and Stephen R. Covey ,Hardcover,$16.76,9781591846406,$27.00,272.0,5.8 x 1 x 8.6 inches,05/16/13,Portfolio; 1 edition,Turn the Ship Around!: A True Story of Turning Followers into Leaders
82,Stephanie E. Jones-Rogers ,Hardcover,$27.00,9780300218664,$30.00,320.0,6.1 x 1.1 x 9.2 inches,02/19/19,Yale University Press,They Were Her Property: White Women as Slave Owners in the American South
83,Milton William Cooper ,Paperback,$18.04,9780929385228,$25.00,510.0,5.9 x 1.2 x 8.9 inches,12/01/91,Light Technology Publishing,Behold a Pale Horse
84,Ben Macintyre ,Hardcover,$18.30,9781101904190,$28.00,368.0,6.4 x 1.2 x 9.5 inches,09/18/18,Crown,The Spy and the Traitor: The Greatest Espionage Story of the Cold War
85,Hyeonseo Lee and David John ,Paperback,$12.29,9780007554850,$15.99,320.0,5.5 x 1 x 8 inches,05/19/16,William Collins; Reprint edition,The Girl with Seven Names
86,Robert A. Caro ,Hardcover,$16.51,9780525656340,$25.00,240.0,5.9 x 1 x 8.5 inches,04/09/19,Knopf,Working
87,Bob Woodward ,Hardcover,$12.69,9789526532998,$30.00,448.0,6 x 1.2 x 9 inches,09/11/18,Simon & Schuster; 2nd edition,Fear: Trump in the White House
88,Isabel Wilkerson ,Paperback,$8.03,9780679763888,$17.95,640.0,6.1 x 1.6 x 9.2 inches,10/04/11,Vintage; Reprint edition,The Warmth of Other Suns: The Epic Story of America's Great Migration
89,Tom Clavin ,Hardcover,$19.49,9781250173799,$29.99,336.0,6.7 x 1.3 x 9.6 inches,02/05/19,St. Martin's Press,Wild Bill: The True Story of the American Frontier's First Gunfighter
90,Douglas Brinkley ,Hardcover,$22.48,9780062655066,$35.00,576.0,6 x 1.7 x 9 inches,04/02/19,Harper,American Moonshot: John F. Kennedy and the Great Space Race
91,Greg Grandin ,Hardcover,$19.49,9781250179821,$30.00,384.0,6.4 x 1.3 x 9.6 inches,03/05/19,Metropolitan Books,The End of the Myth: From the Frontier to the Border Wall in the Mind of America
92,Steven Levitsky and Daniel Ziblatt ,Paperback,$10.40,9781524762940,$15.00,320.0,5.2 x 0.7 x 8 inches,01/08/19,Broadway Books; Reprint edition,How Democracies Die
93,John Oller ,Hardcover,$19.49,9781524743253,$30.00,448.0,6.3 x 1.4 x 9.3 inches,03/19/19,Dutton,White Shoe: How a New Breed of Wall Street Lawyers Changed Big Business and the American Century
94,Pete Souza and Barack Obama ,Hardcover,$26.95,9780316512589,$50.00,352.0,10.4 x 1.2 x 12.5 inches,11/07/17,"Little, Brown and Company",Obama: An Intimate Portrait
95,"Zora Neale Hurston , Deborah G. Plant, et al. ",Hardcover,$16.99,9780062748201,$24.99,208.0,5.5 x 0.8 x 8.2 inches,05/08/18,Amistad; 1st Edition edition,"Barracoon: The Story of the Last ""Black Cargo"""
96,The Princeton Review ,Paperback,$13.59,9781524758189,$19.99,464.0,8.3 x 1.1 x 10.9 inches,08/07/18,Princeton Review; 2019 Edition edition,"Cracking the AP World History Exam, 2019 Edition: Practice Tests & Proven Techniques to Help You Score a 5 (College Test Preparation)"
97,David Treuer ,Hardcover,$18.30,9781594633157,$28.00,528.0,6.3 x 1.6 x 9.3 inches,01/22/19,Riverhead Books; 1st Edition edition,The Heartbeat of Wounded Knee: Native America from 1890 to the Present
98,Alfred Lansing and Nathaniel Philbrick ,Paperback,$12.15,9780465062881,$16.99,357.0,5.5 x 1.1 x 8.2 inches,04/28/15,Basic Books,Endurance: Shackleton's Incredible Voyage
99,Anne Fadiman ,Paperback,$10.20,9780374533403,$15.00,368.0,5.7 x 1 x 8.2 inches,04/24/12,"Farrar, Straus and Giroux; Later Printing edition","The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures (FSG Classics)"
100,Charles Brandt ,Paperback,$11.55,9781586422387,$17.00,384.0,6 x 1 x 9 inches,06/29/16,Steerforth; Updated edition,"I Heard You Paint Houses: Frank ""The Irishman"" Sheeran & Closing the Case on Jimmy Hoffa"
101,Jared Diamond Ph.D. ,Paperback,$15.10,9780393354324,$18.95,528.0,6.1 x 1.4 x 9.2 inches,03/07/17,W. W. Norton & Company; 1 edition,"Guns, Germs, and Steel: The Fates of Human Societies"
102,Bill Bryson ,Paperback,$13.10,9780767908184,$20.00,544.0,6.1 x 1.2 x 9.2 inches,09/14/04,Broadway Books; 1st edition,A Short History of Nearly Everything
103,Lorraine Lupinskie-Huvane M.A. and Kate Caporusso M.S. ,Cards,$12.91,9781438076300,$18.99,,2.7 x 3 x 4.4 inches,09/01/16,Barrons Educational Series; Third edition,Barron's AP World History Flash Cards
104,Edward Wilson-Lee ,Hardcover,$19.49,9781982111397,$30.00,416.0,6 x 1.2 x 9 inches,03/12/19,Scribner,"The Catalogue of Shipwrecked Books: Christopher Columbus, His Son, and the Quest to Build the World's Greatest Library"
105,Graydon Carter ,Hardcover,$34.49,9781419708633,$70.00,456.0,14.2 x 11 x 1.8 inches,10/15/13,Harry N. Abrams; 8.11.2013 edition,Vanity Fair 100 Years: From the Jazz Age to Our Age
106,Victor Davis Hanson ,Hardcover,$27.11,9780465066988,$40.00,720.0,6.4 x 1.5 x 9.6 inches,10/17/17,Basic Books; First Edition edition,The Second World Wars: How the First Global Conflict Was Fought and Won
107,Saidiya Hartman ,Hardcover,$16.78,9780393285673,$28.95,304.0,6.5 x 1.3 x 9.6 inches,02/19/19,W. W. Norton & Company; 1 edition,"Wayward Lives, Beautiful Experiments: Intimate Histories of Social Upheaval"
108,"Corrie Ten Boom , Elizabeth Sherrill, et al. ",Paperback,$11.03,9780800794057,$13.99,272.0,5.5 x 0.6 x 8.5 inches,01/012006,Chosen Books; 35th Anniversary edition,The Hiding Place
109,Najmieh Batmanglij ,Hardcover,$58.50,9781933823959,$65.00,728.0,8.7 x 2.3 x 9.8 inches,11/02/18,Mage Publishers; 1 edition,Cooking in Iran: Regional Recipes and Kitchen Secrets
110,Jemar Tisby and Lecrae Moore ,Hardcover,$14.71,9780310597261,$21.99,256.0,5.7 x 0.9 x 8.7 inches,01/22/19,Zondervan,The Color of Compromise: The Truth about the American Church’s Complicity in Racism
111,Don Miguel Ruiz and Luz Hernandez ,Paperback,$11.38,9781878424365,$12.95,142.0,5.1 x 0.5 x 7.2 inches,06/04/99,Amber-Allen Publishing,Los cuatro acuerdos: una guia practica para la libertad personal (Spanish Edition)
112,Ryan M Cleckner ,Paperback,$21.47,9781518654725,$24.95,330.0,6 x 0.8 x 9 inches,01/31/16,CreateSpace Independent Publishing Platform; 1 edition,Long Range Shooting Handbook: The Complete Beginner's Guide to Precision Rifle Shooting
113,Jim DeFede ,Paperback,$13.59,9780060559717,$16.99,244.0,5.3 x 0.6 x 8 inches,08/14/03,Regan Books; Reprint edition,"The Day the World Came to Town: 9/11 in Gander, Newfoundland"
114,James Baldwin ,Paperback,$12.56,9780679744726,$13.95,128.0,5.2 x 0.3 x 8 inches,12/01/92,Vintage; Reissue edition,The Fire Next Time
115,Lynn Vincent and Sara Vladic ,Hardcover,$13.98,9781501135941,$28.00,592.0,6.1 x 1.4 x 9.2 inches,07/10/18,Simon & Schuster; 1st Edition edition,Indianapolis: The True Story of the Worst Sea Disaster in U.S. Naval History and the Fifty-Year Fight to Exonerate an Innocent Man
116,Cheryl Strayed ,Paperback,$11.69,9780307476074,$16.95,315.0,5.2 x 0.7 x 8 inches,03/26/13,Vintage Books; 1st edition,Wild: From Lost to Found on the Pacific Crest Trail
117,James Carl Nelson ,Hardcover,$18.89,9780062852779,$28.99,320.0,6 x 1 x 9 inches,02/19/19,William Morrow; 1st Edition edition,"The Polar Bear Expedition: The Heroes of America’s Forgotten Invasion of Russia, 1918-1919"
118,Jedidiah Jenkins ,Hardcover,$15.60,9781524761387,$26.00,336.0,6.6 x 1.2 x 9.5 inches,10/02/18,Convergent Books; First Edition edition,"To Shake the Sleeping Self: A Journey from Oregon to Patagonia, and a Quest for a Life with No Regret"
119,Erik Larson ,Paperback,$13.60,9780307408853,$17.00,448.0,5.2 x 1.2 x 8 inches,01/012011,Crown; 1st edition,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin"
120,"Patrick Van Horne , Jason A. Riley , et al. ",Paperback,$17.16,9781936891306,$19.95,228.0,5 x 0.6 x 8 inches,06/13/14,Black Irish Entertainment LLC,Left of Bang: How the Marine Corps' Combat Hunter Program Can Save Your Life
121,Amy Stewart ,Hardcover,$12.79,9781616200466,$22.95,400.0,6.2 x 0.9 x 8.3 inches,03/19/13,Algonquin Books; 1st edition,The Drunken Botanist
122,Michael Beschloss ,Hardcover,$22.48,9780307409607,$35.00,752.0,6.5 x 1.7 x 9.6 inches,10/09/18,Crown; First Edition edition,Presidents of War
123,Ron Chernow ,Hardcover,$20.94,9781594200090,$35.00,818.0,6.4 x 2 x 9.6 inches,04/26/04,The Penguin Press,Alexander Hamilton
124,John J Newman and John Schmalbach ,Paperback,$25.75,9781531116927,$30.50,800.0,6 x 1.7 x 9.1 inches,07/17/17,Perfection Learning; First Printing edition,"United States History: Preparing for the Advanced Placement Examination, 2018 Edition"
125,Chris Christie ,Hardcover,$18.30,9780316421799,$28.00,432.0,6.5 x 1.4 x 9.4 inches,01/29/19,Hachette Books,"Let Me Finish: Trump, the Kushners, Bannon, New Jersey, and the Power of In-Your-Face Politics"
126,Ann Rule ,Paperback,$12.18,9781501139147,$17.99,592.0,5.5 x 1.4 x 8.4 inches,11/06/18,Gallery Books; Reprint edition,The Stranger Beside Me: The Shocking Inside Story of Serial Killer Ted Bundy
127,Kate Moore ,Paperback,$13.96,9781492650959,$17.99,496.0,5 x 1.5 x 8 inches,03/06/18,Sourcebooks; Reprint edition,The Radium Girls: The Dark Story of America's Shining Women
128,Dave Cullen ,Paperback,$8.04,9780446546928,$17.99,496.0,6 x 1.5 x 9 inches,03/03/10,Twelve; ISBN 9780446546928 edition,Columbine
129,Richard Rohr and Andreas Ebert ,Paperback,$16.91,9780824519506,$19.95,320.0,6 x 0.8 x 9 inches,09/01/01,The Crossroad Publishing Company; 1st US Edition 1st Printing edition,The Enneagram: A Christian Perspective
130,J. L. Pickering and John Bisney ,Hardcover,$29.30,9780813056173,$45.00,272.0,8.5 x 0.9 x 11 inches,04/02/19,University Press of Florida,Picturing Apollo 11: Rare Views and Undiscovered Moments
131,Hampton Sides ,Paperback,$12.74,9780385495653,$17.00,384.0,5.2 x 0.8 x 8 inches,05/07/02,Anchor,Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission
132,Siddhartha Mukherjee ,Paperback,$18.00,9781439170915,$20.00,608.0,6.1 x 1.6 x 9.2 inches,08/09/11,Scribner; Reprint edition,The Emperor of All Maladies: A Biography of Cancer
133,Elizabeth R. Varon ,Hardcover,$29.71,9780190860608,$34.95,528.0,9.4 x 1.6 x 6.4 inches,03/13/19,Oxford University Press,Armies of Deliverance: A New History of the Civil War
134,Christopher Emdin ,Paperback,$10.87,9780807028025,$16.00,232.0,5.5 x 0.7 x 8.5 inches,01/03/17,Beacon Press; Reprint edition,"For White Folks Who Teach in the Hood... and the Rest of Y'all Too: Reality Pedagogy and Urban Education (Race, Education, and Democracy)"
135,Larry Loftis ,Hardcover,$17.70,9781501198656,$27.00,384.0,6 x 1.2 x 9 inches,01/15/19,Gallery Books,Code Name: Lise: The True Story of the Woman Who Became WWII's Most Highly Decorated Spy
